smiles,mpK
CCCCCCCCCCCCCCCCCC,301
C1COCCO1,284.8
FC(F)(F)C(=O)O,258
N#CCc1ccccc1,249
Cc1ccc(c(c1)Cl)Cl,258
Clc1cccc(Cl)c1,248.2
OCc1ccccc1,258
c1ccc2c(c1)CC=C2,271
c1cc(cc(c1)O)C(F)(F)F,271
CN(C)C(=O)N(C)C,272
BrC(C)C(Br)(Br)C,275
Cc1ccccc1c2ccccc2,273
CC(C)(C)c1ccccc1O,266
c1ccnc(c1)CCO,265
CCCCCCCCCCCC(=O)OC,278
Cc1ccc(C)c(C)c1C,267
C(CCI)CI,279
CCC(=O)c1ccc(cc1)C,280
CC(C)(C)c1cccc(n1)C(C)(C)C,275
CC#CCO,270.8
C1CNCCO1,268
CCc1ccc(cc1)N,268
CCN,192
CCOC(=O)C(C)C,185
CCCC(=O)OCCC(C)C,200
CC(C)COC(=O)C,174
B(OCC)(OCC)OCC,188
c1ccc(cc1)c2ccc(cc2)F,347
C#Cc1ccccc1,228
CCCCC(=O)OCC,182
O=C(CCC)OCCCCC,200
CC(CC)C(C)(C)C,161
CC(C)(C)CCC,149
CC(C)CCCC,155
CC(C)(Cl)Cl,239
CCCCSC,175
C1C=CCC=C1,224
CC1(C)CCCC1,203
BrC(CC)CC,147
CCCCCCCCC#N,239
CCCCCCC(=O)Cl,189
CC(C)(C)C1CCCCC1,232
CCC(C)CCCCCC,188
C=C(C)CCCC,170
CC(C)C(C)(C)CCC,156
CC(CC)C(C)(C)CC,172
C=C(C)C#N,237
Cc1ccc(c(c1)F)[N+](=O)[O-],326
CCC(S)CC,162
CC(C)CC1CCCC1,158
C=C(C)CCCCCC,195
CC(CC)CC(O)CC,181.8
CC=C(/C)C(C)C,149
CC(OC)OC,160
O=[N+]([O-])c2ccccc2c1ccccc1,310
CNC,181
CCCCCCCCCl,215
CCCCCCCCS,224
CC(C)(C)C=C,158
ClCC(Cl)(Cl)Cl,203
CCCCCCCI,225
CC(C)CCO,156
COC(=O)c1ccc(cc1)I,388
N#CC=CC#N,370
C=CCN,185
C1C(O1)CCl,216
SCCS,232
Cc1cc(Br)ccc1,233
O=S(=O)(NC(=O)NCCC)c1ccc(Cl)cc1,401
Cc1cc(C)c(C)cc1,229.2
BrCCCBr,239
CCCCC#N,177
C=CC(=O)OCC,202
CC(C)(C)I,235
C#CC(C)(C)C,195
COCOC,168
Cc1cc(Cl)ccc1,225
CCCCCCCC,216
C1CCCC1,179
ClC(Cl)C(Cl)(Cl)Cl,244
c1ccc2c(c1)cccn2,258
CC(C)CC,113
c1c(cc(c(c1[N+](=O)[O-])Cl)[N+](=O)[O-])C#N,414
CCC(C)C(CC)C(N)=O,387
c1ccc(cc1)C(=O)CCCC(=O)O,400
Nc1ccccc1,267
c1ccc(cc1)C(C#N)c2ccccc2,347
CC(F)(F)F,162
Cc1cccc(c1)C(C)C,209
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,343
CC(C)C(=O)OC,188
CCCC(O)CCCC,232.3
CC1(C)CCCCC1,240
CC(C)(C)C(C)(C)C,374
CC(C)=C/C(C)C,145
CCCCCC(=O)OCCC,204
CCCCCC#N,193
CCCCCSCCCCC,222
Cc1cc(C)cc(CC)c1,189
CCCc1ccccc1C,213
CCC1CCCCC1,162
Cc1ccc(C)cc1CC,219
CCCC1CCCC1,156
CC(CCC)CCCC,160
CC(C)CCC(C)(C)C,167
C/C(C)=C(/C)CC,155
CCCCC(C)CCCC,185
CCC(CC)C(C)(C)C,174
c1cc(ccc1C(F)(F)F)F,231
C#CC(C)C,183
C=CCC1CCCC1,162
c1c(cc(cc1C(=O)Cl)C(=O)Cl)C(=O)Cl,309
CC(C)C(C(C)C)C(C)C,191
CC(C)(C)C(C)C(C)(C)C,234
CCC#CC(C)C,156
CC=CC(C)CC,147
CC(C)CC=CC,149
CCc1ccccc1Cl,190
CC(O)CC,158
CCCS,160
CC(=CC(C)(C)C)C,167
CC(C)CC(=O)OCC,174
CCCCCS,197
CCCCCCBr,188
CC#CC,241
CCCCSCCCC,193
CCc1ccc(cc1)C,211
CCC#CC,164
CC(C)CCCCCC,193
CCc2oc1ccccc1c2C(=O)c3ccc(O)cc3,397
ClC=C(/Cl)Cl,188
CC(=O)OCc1ccccc1,222
C=CCI,174
CCOCC,157
Cc1cc(C)cc(C)c1,228
CCCCS,157
CCCCCCC=O,230
CC(C)CC(C)(C)C,166
CCCI,172
CCCCCCCCC=C,207
CCCCCC,178
C(Cl)(Cl)(Cl)Br,267
CC(C)CCCCCCCCCCCCCCC,279
COCC(=O)O,281
CCCCCCCCCCCCC,268
CC(=O)OO,273.1
CCCCCCCCCCC1CCCCC1,271
Ic1ccccc1Cl,274
CCCCCCCCCCCCCl,264
Cc1cc(C)c(C)c(C)c1,249
c1cc(cnc1)Br,246
CCCCCCCCCCCl,242
CCCCCCCCCCCCCC(=O)OCC,285
BrC(Br)CBr,244
c1cc(c(cc1F)[N+](=O)[O-])F,261
C(=C(Cl)Cl)(Cl)Cl,251
CC(C)c1ccc(Cl)cc1,261
CC(C)OC(=O)CC(=O)C,246
Ic1cccc(Br)c1,264
c1ccc(cc1)I,242
CCCCCCCCCCI,257
N#Cc1ccccc1,260
CCCCCCCCCC,243
c1ccc2c(c1)C(=O)NS2(=O)=O,502
O=S(C)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,438
CCCl,134
Cc1ccccc1S(=O)(=O)N,429
Cc1ccnc(n1)N,433
C[C@@H]1CC[C@H](C)C1,139
C=C(C)C(C)CC,139
C=CC(C)(C)CC,139
O=C(N)c1cc(Br)ccc1,428
C/C(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,419.3
C1=CC=C2C(=C1)SC3=CC=CC=C3S2,432
CC(C)C(=C)C,116
C=CCCC=C,132
CCCC(=C)C,137
CC(C)CCC,119
CC=C(/C)C,139
C1=CC(=CC=C1C2=CC=C(C=C2)Cl)Cl,422
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,420
CCCCC,143
CCN(CC)CC,158
C(=O)O,281
CCCCC(=O)O,239
C=CCC,88
C=C,104
n1nc(sc1C)N,497.85
CC(O)(CC)CC,249
CCOP(=O)(OCC)OCC,217
c1cccn1,250
c1ccc2c(c1)CCC2,222
CC1CCC(=O)CC1,232
CC(C)(O)CCCCC,222.6
Cc1ccc(s1)C,210
CCCc1ccc(C)cc1,209
CCCCS(=O)CCCC,306
CCCCCCCCCCl,234
CC(O)CCCCCC,241
CC1CCCC1(C)C,251
CCCCCCOC=O,210
CC(C)(C)C(C)(C)C(C)C,237
CCOC(=O)Cc1ccccc1,244
Cc1cccs1,210
CCc1ccc(Cl)cc1,210
OCC(O)CO,290.8
CCCCOc1ccccc1,254
Cc1cccc(c1)C(C)(C)C,232
CC(CCCBr)Br,239
c1ccccn1,231
Brc1ccccc1,242
Cc1cccc(C)c1C,248
CCCCCCCCCCC,247
CC(=O)O,289.7
C(#N)c1c(c(c(c(c1F)F)F)F)F,275
c1cc(c(cc1Cl)Cl)CCl,270
C#CC(C)(C)O,275.6
CC(C)c1cc(cc(c1)C(C)C)C(C)C,266
CC(C)(C)CCC(C)(C)C,260
CCCCC(=O)c1ccccc1,264
Cc2ccccc2Cc1ccccc1,280
c1cnccc1CN,265
C(COCCO)O,263
CCCCCCCCCCc1ccccc1,259
c1cc(cc(c1)Cl)N,263
CCCCCCCCCCCC,263.4
CN,180
FC(F)(F)F,89
CC(C)CCCl,169
CC(C)OC(=O)C,200
C=C(C)C,133
c1(c(c(c(c(c1F)F)F)F)F)C(F)(F)F,207
CCOC(=O)Cl,192
C/C(C)=C(/C)C(C)C,160
CC(=C=C)C,159
CCC(CC)CC,154
CCCSSCCC,187
O=C(O)CCCCCCCCCCCCCCCCCC,342
C(C(=O)N)(Cl)Cl,372
CC(C)(C)CC=C,136
CC(C)CCCCCCC,198
CC(C)C(CC)C(C)C,151
CCC1CCCC1,135
CC(C)c1ccccc1Cl,199
CC(CC)CCCCC,165
CC(C)C1CCCC1,162
CC1CCC(C)(C)C1,131
CC1(C)CC=CCC1,199
CC(C)CC(C)(C)CC,160
C=CC=CC,186
C(F)(Br)(Br)Br,199
CC=1CCCC=1C,183
N#Cc3cncc3c1cccc2OC(F)(F)Oc12,472.4
BrC(=C)CC,140
CC(C)CC#C,168
CCC=CC(C)C,131
C=CCNCC=C,185
CCC,85
CCCCBr,161
C1CCC1,182
O=C(O)CCCCCCCCCCCCCCCCCCC,348
CCCCCI,187
C/C(C)=CCCC,143
CCCC#CC,183
CCCC=CCC,136
CN1CCN(CC1)C2=Nc4cc(Cl)ccc4Nc3ccccc23,456.5
CCC(CBr)Br,208
C=CCBr,154
CC(=O)OCC,189
CC(C)(C)OC,164
BrCC,154
CCO,159
CCC(=O)O,252.2
CC=C/CC,122
C1CC1,145.85
CCCCCCC,182
Cc2ccc(Cc1ccccc1)cc2,278
C1CCCO1,165
CCCCCCC=C,171
CC=1CCCCC=1,153
C=CCCCC,133
C=C(C)C(=O)OC,225
c1ccc2cnccc2c1,299
CO,175
CC(CBr)Br,218
c1c(cc(cc1O)O)O,491
OC(CN)c1ccccc1,330
c1ccnc(c1)C(=O)O,410
NCCCNCCCCN,296.5
c1cnccc1N,432
COc1cc(ccc1O)CC(=O)O,416
CC(=O)NCCCCCC(=O)O,377
Cc2cc3c1c(cc(cc1O)CCCCC)OC(C)(C)c3cc2,349.5
CNC(=O)Oc1cccc2CC(C)(C)Oc12,424.5
CC1(C2CCC(O1)(CC2)C)C,274
COP(=S)(OC)SCC(=O)NC,324.5
c1ccc(cc1)c2ccc(cc2)CC(=O)O,434
Cc1cc(ccc1SC)OP(=S)(OC)OC,280
Cc1ccc(cc-2c(ccc12)C)C(C)C,305
c1ccc2c(c1)c(c[nH]2)CO,371
c1ccc2c(c1)c(c[nH]2)CCC(=O)O,407
S=P(Oc1ccc(cc1)[N+]([O-])=O)(OC)OC,309
CC(=O)NBr,377
COc1ccc(cc1OC)Cc2c3cc(c(cc3ccn2)OC)OC,420
O=C2c1ccccc1C(=O)C2c3ccccc3,422.5
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,420.5
NS(=O)(=O)Cc2noc1ccccc12,435
Cc1ccc(cc1)N(CC2=NCCN2)c3cc(O)ccc3,447.5
O=C1NC(=O)NC(=O)C1(CC)C2=CCCCC2,445.5
Cc1cc(n[nH]1)C,380
Clc1ccc(cc1)C(C(Cl)Cl)c2ccc(Cl)cc2,382
CC[N+](=O)[O-],184
CC1(O)CCC(CC1)C(C)(C)O,431
O=C3c1ccccc1C(=O)c2c3ccc(C)c2N,478
Cc1cccc(c1O)C(=O)O,438
C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,488
c1ccc(cc1)NC(=O)c2ccccc2O,410
COc1c(Cl)cc(Cl)cc1Cl,334
CC(=O)c1cccs1,283
O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1O)[N+]([O-])=O,395
c1ccc(cc1)c2nc(nc(n2)N)N,500
Cc1ccc2c(c1)ccc(=O)o2,349
c1ccc(cc1)C(=O)OC(=O)c2ccccc2,315
CC(CC)=NO,243.5
c1cc(cc(c1)N)C(F)(F)F,279
c1cc(cc(c1)C(=O)Cl)C(=O)Cl,317
c1cc(cnc1)CO,266
Clc2nc(Nc1ccccc1Cl)nc(Cl)n2,432.5
C=CC#N,189
CC(C)(C)NC(=O)C=C,402
CC(C)CC(=O)CC(C)C,231
C1CCC(CC1)Br,216
c1cc(cnc1)O,400
c1ccnc(c1)Cl,227
CC(C)CCOC=O,180
CCSSCC,171
C(COCCCl)OCCCl,241
CC(=O)NNc1ccccc1,403
Cc1cc(cc(Br)c1O)C3(OS(=O)(=O)c2ccccc23)c4cc(C)c(O)c(Br)c4,514
c1ccc2c(c1)ccc(n2)c3ccc4ccccc4n3,468
c1ccc(cc1)Cc2cc(ccc2O)Cl,321
O=C(OCC)c1ccc(O)cc1,389
c1cc(c(cc1C(F)(F)F)[N+](=O)[O-])Cl,270
CCOc1cc(ccc1O)C=O,350
O=[N+]([O-])N1CN(CN(C1)[N+]([O-])=O)[N+]([O-])=O,478
c1cc(c(cc1O)O)C(=O)c2ccc(cc2O)O,474
c1ccc(cc1)c2cc(c3ccccc3n2)C(=O)O,488
C(CI)C(=O)O,355
ClCCCCl,173
CC(C)C(C(C)(C)CO)O,325
c1ccc2cnncc2c1,364
c1ccc2Oc3ccccc3Oc2c1,395.5
c1cc(c(cc1S(=O)(=O)c2ccc(c(c2)[N+](=O)[O-])F)[N+](=O)[O-])F,467
c1cc(c(cc1C(F)(F)F)Cl)Cl,261
c1cc(ncc1C(=O)N)N,520
Clc1ccc(NC(=O)N(C)OC)cc1Cl,366.5
CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,417
CC(=O)Nc1cccc(c1)C(F)(F)F,378
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,255
c1cc(cc(c1)C(F)(F)F)C(=O)O,378
Cc1ccc(cc1)S(=O)(=O)F,314
CCOCOCC,207
CCC(=O)C(CC(C)N1CCOCC1)(c2ccccc2)c3ccccc3,348
c1ccc2c(c1)c(ccn2)C(=O)O,527
c1cnc2c(n1)c(=O)[nH]c(=O)[nH]2,621
c1ccc2c(c1)c(c[nH]2)C=O,470
c1cocc1C(=O)O,395
c1ccc2c(c1)CCc3ccccc3N2,380
C1C=CC(=O)O1,277
c1ccnc(c1)N,331
Cc1ccccc1C(C)C,201
O=[N+]([O-])c1ccccc1[N+]([O-])=O,391
c1ccc(cc1)CSCc2ccccc2,322
CCCCCCCCCCCCCC(=O)CCCCCCCCCCCCC,351
C1C=CC=CC=C1,193
O=C3C=Cc2cccc1cccc3c12,427.5
C=CC(C)C,105
COc1ccc(c(c1OC)OC)C(=O)O,374
c1ccc2c(c1)cc(c3c2cccc3)Br,337
c1ccc2c(c1)C(=O)N(C2=O)CCBr,355
CCCC(=O)CC,218
CC(C)(C)N=C=S,283
CC1CC=CCC1,158
CCCCOC=O,181
CCCCCCCCCCCCCCCCCCCCCCCCCCC,332
CCC(CC)(CC)O,260
COC(=O)C(Cl)(Cl)Cl,255
[O-][N+](=O)c1ccc2CCc3cccc1c23,376.5
O=C(C)Oc1ccccc1[N+]([O-])=O,313
CCOC(=O)c1ccco1,307
CC1=CC(=O)OC1=O,281
CC(=O)N[C@@H](CS)C(=O)O,383
CCc1ccc(cc1)C(=O)O,386
CN(C)c1ccc(cc1)C(=O)O,516
c1ccc(cc1)OCC(COc2ccccc2)O,355
Cc1ccc(cc1)N=C=S,298
CCOc1ccc(cc1)O,339
CCCCOC,158
CCOCCC,146
CCCCCCCCl,203
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,349
CC[Si](CC)(CC)CC,191
O=C(C)Oc1ccccc1OC(C)=O,337
Cc1cc(c(c(c1)O)C)C,367
c1cc(oc1C=O)[N+](=O)[O-],309
Cc1cc(C)c(C)c(C)c1C,327
c1ccc2c(c1)CCc1ccccc12,307
c1ccc(cc1)P(=O)(c2ccccc2)c3ccccc3,429
C1C2CC3CC1CC(C2)(C3)C(=O)O,448
CC(=O)Oc1cccc2c1cccc2,318
CCCCCC(=O)CCCCC,288
CCc1cccc(C)c1C,223
c1ccc(c(c1)C(=O)NN)O,421
CC(C(=O)O)Oc1ccccc1,391
c1ccc(cc1)c2cc3ccccc3[nH]2,463
CC(C)(C)CC(=O)O,279
CC(C)(C)CC(C)(C)C,206
c1ccc(cc1)C(=O)c2ccc(cc2)N,396
CCCCCCCCCCCCOC(=O)c1cc(c(c(c1)O)O)O,370
c1ccc2c(c1)CCc3ccccc3C2Cl,380
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)C(=O)O,481
CC(C)SC,171
Cc1ccc(nc1)N,349
CC[Si](CC)(Cl)Cl,176
c1cc(c(cc1Cl)Cl)CO,332
CCCCCCCCOc1ccc(c(c1)O)C(=O)c2ccccc2,321
c1ccc2c(c1)-c3ccccc3C2Br,376
CC(C)c1ccc2ccccc2c1,287
C=Cc1ccccc1Br,220
O=CC1CCCCC1,307.5
CN1c2ccccc2C(=O)C1=O,404
CC(=O)c1cccc(c1)Br,281
O=C(Nc1cc(ccc1)C(F)(F)F)N(C)C,436.5
c1(c(c(nc(c1Cl)Cl)Cl)Cl)Cl,398
c1c(c(nc(c1Cl)Cl)Cl)Cl,364
Cc1ccc(c(c1)C(C)(C)C)O,325
Clc1ccccc1/C=C(C#N)C#N,368
COC(=O)c1cc(ccc1Cl)Cl,312
c1c(c(cs1)Br)Br,278
c1cc(sc1Cl)Cl,232
C=CCCCCCCCCCCCCCCCCCC,302
CC(CC)CC=C,132
CCOC(=O)C(C)(C)C,183
C=CC(CC)CC,146
CCCCCCCCCCCCCCCC=C,284
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,361
Cc1cc(ccc1Cl)N,357
[SiH](Cl)(Cl)Cl,146
CN(C)c1ccc(cc1)C(=O)OCC,336.5
Cn1c2ccccc2nn1,338
c1c[n+](ccc1C(=O)O)[O-],543
CS(=O)(=O)c4ccc3Sc1ccccc1N(CCCN2CCC(CC2)C(N)=O)c3c4,443
c1cc(ncc1Cl)Cl,334
COc1cc(ccc1O)Cl,290
Cc1cc(C)c(C)cc1CC,259
C1=CC=C(C=C1)C2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl,434
CC(=O)CCc1ccc(c(c1)OC)O,314
c1ccc(cc1)OCC2CO2,277
Oc1ccc(OCCCC)cc1,338
O=C1CC(=O)CC(C)(C)C1,421.5
c1ccc(cc1)S(=O)(=O)c2ccccc2,401
BrC(Br)(CBr)CBr,284
CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,409
CC1(N=C(NC1=O)c2ncccc2C(=O)O)C(C)C,444.5
C=CCCC(=O)O,251
CCCCCCCCCCCCCC(=O)C,312
C=Cc1ccc(O)cc1,346
CC=CC,168
c1ccc2c(c1)c(=O)[nH]cn2,491
CC(=O)NC12CC3CC(C1)CC(C3)C2,421
CN(C)c1cccc2c1cccc2S(=O)(=O)N,493
Nc2nc(N)ncc2Cc1cc(OC)c(OCCOC)c(OC)c1,427.5
c1c(nc(nc1Cl)N)Cl,493
Cc1ccc(cc1)CN,285
c1ccc(cc1)[Si](c2ccccc2)(c3ccccc3)c4ccccc4,510
c1ccc(cc1)Oc2ccc(cc2)C=O,298
Cc1cc(c(n1c2ccccc2)C)C=O,362
Cc1ccc(n1c2ccccc2)C,323
OC=1C(=O)C(Cl)=C(O)C(=O)C=1Cl,556
CCCCCCCCCC(=O)Cl,238
c1cc(nnc1Cl)Cl,341
c12c(c(c(c(c1F)F)F)F)c(c(c(c2F)F)F)F,360
c1c(cc(c(c1F)[N+](=O)[O-])F)F,277
C(=O)(C(F)(F)F)N,346
FC(F)(F)c1ccc(C=O)cc1,274.5
c1ccc(cc1)Nc2ccccc2N,352
c1cc(ccc1C(=O)CBr)Cl,369
c1ccc(cc1)[Si]2(O[Si](O[Si](O[Si](O2)(c3ccccc3)c4ccccc4)(c5ccccc5)c6ccccc6)(c7ccccc7)c8ccccc8)c9ccccc9,474
O=C(C)Oc1ccccc1C(=O)OC,325
c1ccnc(c1)c2ccncc2,334
COc1ccc(cc1)C(=O)c2ccccc2,335
CCOC(=O)c1cccnc1,282
Ic1cc(ccc1)C(=O)OC,327
c1cc(sc1I)I,314
c1ccc(cc1)C(=O)c2cccc(c2)C(F)(F)F,325
CCOC(=O)C#CC(=O)OCC,275
CCCCCCCCC(=O)Cl,212
c1cc(c(cc1Br)[N+](=O)[O-])N,385
O=C(NCN1CCOCC1)c2cnccn2,392
C=CCCCCC(=O)O,267
c1cc(ccc1C(=O)N)F,429
CCOC(=O)c1cc2ccccc2[nH]1,397
Clc1cc(CC#N)ccc1,284.5
c1ccc2c(c1)cncc2Br,314
c1cccc2nc(c(nc12)c3ccccc3)c4ccccc4,399.5
CC=C1CCCC1,143
c1cc(ccc1N2CCNCC2)F,305
Cc1cc(ccc1N)C(=O)O,443
C[Si]1(O[Si](O[Si](O[Si](O1)(C)C=C)(C)C=C)(C)C=C)C=C,230
CCCC#CCC,142
c1c(nc(nc1Cl)Cl)Cl,296
O=C(O)CCC(=O)OC,330.5
Nc1cc(Cl)c(O)cc1,424.5
c1ccc2c(c1)cc(c3c2cccc3)C=O,375
c1ccc(cc1)C2CCC(=O)CC2,353
CCOc1ccc(cc1)CC(=O)O,362
CC(=O)c1ccc(s1)Br,368
Cc1cc(nc(n1)Cl)Cl,319
CCc1cccc(c1)c2ccccc2,245
O=C1CCC(=O)N1O,369.5
N#CC(=C)C(=O)OCC,251
c1ccc(cc1)OCCC(=O)O,371
CSc1ccc(cc1)C(=O)O,468
Cc1cc(ccc1Cl)[N+](=O)[O-],316
c1cc(c(c(c1)F)C(=O)N)F,420
c1ccc2c(c1)c3ccc(cc3[nH]2)O,545
c1cc(ccc1C(C(=O)O)O)Br,390
CCCCCCC(CCCC)O,269
CCC1=CCCC1,155
CCOc1ccc(cc1)C#N,335
Cc1c(cnn1c2ccccc2)C(=O)O,440
O=S(=O)(c1ccc(cc1)C)C[N+]#[C-],385.5
COC(=O)c1cc(ccc1[N+](=O)[O-])Cl,322
c1ccc2c(c1)c(c[nH]2)C#N,453
N1=C2C=CC=CC2=C(C)C1c1ccccc1,364
CC=1CCC[C@](C)(C)C=1/C=CC(C)=CC=CC(C)=CCO,336
c1cc(c(c(c1F)C(=O)O)F)F,404
COC(=O)c1c[nH]c2c1cccc2,424
c1cc(oc1C=O)Br,357
c1cc2c(cc1/C=C/C=C/C(=O)N3CCCCC3)OCO2,404
CC=CCCCC,164
Fc1cc(C[C@H](N)C(=O)O)ccc1O,533.5
c1cc(c(c(c1)Cl)C(=S)N)Cl,424
O[C@@H]1CC(=O)[C@H](CCCCCCC(=O)O)[C@H]1/C=C/[C@@H](O)CCCCC,388.5
COc1cc(cc(OC)c1OC)/C=C/C(=O)O[C@@H]3C[C@@H]4CN5CCc2c6ccc(OC)cc6nc2[C@H]5C[C@@H]4[C@@H]([C@H]3OC)C(=O)OC,511
c1cc(cc2c1ccc(=O)o2)O,503
c1ccc(cc1)c2c(c(=O)c3c(cc(cc3o2)O)O)O,488
C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,471
CC=C(C)CCC,154
c1ccc(cc1)C(=O)/C=C/c2cccc(c2)[N+](=O)[O-],419
CCOC(=O)C=C2SC(N1CCCCC1)C(=O)N2CC,359
[O-][n+]1ccccc1S,343.5
C=CCCCCCCCCC(=O)O,297
O=C(C)Nc1cc(C)ccc1,338
C(C(C(CO)O)O)O,395
Cc1cc(cc(c1)O)O,380
Cc1ccnc2c1cccc2,283
Cc1ccc2ccccc2n1,271
c1cc(cc(c1)Br)Cl,251
Oc2ccc3ccccc3c2N=Nc1ccccn1,412.5
Cc1ccc(c(c1)OC)O,279
c1ccc(c(c1)C=O)F,228
c1ccc2c(c1)CCO2,252
Clc1ccc(Cl)c(Cl)c1Cl,320
CCc1ccncc1,182
CCc1ccc(Br)cc1,230
c1c(c(cc(c1F)F)F)F,277
COC(=O)c1cccnc1,315
c1c(cc(cc1F)F)F,267
Cc1ccc(cc1Cl)Cl,260
c1c(c(c(c(c1F)F)N)F)F,304
Cc1cc(c(cc1C)C(=O)C)C,283
